Product Name,best_aspect,worst_aspect
"2 in 1 Pump Plastic Dispenser for Dishwasher Liquid Holder (Multi Colour, Standard, 385ml)",None,product
ASIAN Green Men's Sports Running Shoes,product,None
Allamwar 12pcs Stainless Steel Cookie Cutter Set Pastry Cookie Biscuit Cutter Cake Muffin Decor Mold Mould Multi Functional Tool,quality,None
"Amar Push Up Bar Stand For Gym & Home Exercise, Strengthens Muscles of Arms, Abdomen and Shoulders for men and women",quality,None
Analog Kitchenware Kitchen Utility Knife Set of 3U,product,None
"Arni 3 in 1 Large Sink Set Dish Rack Drainer with Tray for Kitchen,Dish Rack Organizers, Plastic Kitchen Rack Dish Drainer Kitchen Rack (Plastic) Dish Drainer Kitchen Rack  (Plastic)",product,None
Automatic Wireless Electric Rechargeable Drinking Water Dispenser Pump for 20 Liter Bottle Can with USB Charging Cable (Assorted Color),None,product
BK KART Mixed Nuts 500gm,product,None
"BLAQUE 3 Ply Anti Viral, Anti Pollution Surgical Disposable Face Mask With Nose Pin & Meltblown Layer- Pack of 100 (Blue)",None,quality
BLUE-46Pcs Wrench Socket Screwdriver Set For Car/Motorcycle & Home Repairing Tool Kit,product,None
Bentag kitchenware Vegetable & Fruit Clever Cutter Stainless Steel Vegetable Scissor,satisf,None
Campus TERMINATOR (N) Black Running Shoes,product,None
Comey Cotton Blend Regular Fit Full Sleeves Men's Formal Shirt - Green ( Pack of 1 ),fabric,None
DAKADU Pack of 18 Adhesive Hooks for Walls Heavy Duty Utility Hook Transparent Reusable No Drill Wall Hangers for Key Holder Calendars Photo Frame Cloth Decoration Kitchen Tools Bathroom,product,None
Dealcrox-Digital Display 0.1 g to 200 g Mini Pocket Weight Scale Measurement Jewellery Weighing Machine (Multicolor),None,product
"Double Spring Tummy Trimmer for Abs Exerciser,Body Toner and Fat Buster| For Men and Women",quality,None
"Double Toning Resistance Tube Pull Rope Elastic Rubber Exercise Band for Stretching, Workout, Home Gym and Toning with Heavy Quality D Shaped Handles",None,quality
"Dynore Stainless Steel 2 in 1 Partition Plate for Kitchen Serving, 22cm Length per unit, (Pack of 6)",product,None
Ezybe Self Adhesive Kichen Shelf Light Blue Plastic Storage Racks (Pack of 2),product,None
Ezzi Deals 360 Degree Rotating Magic Bucket Spin Mop Set  (Color as per availability),product,None
Gazal Fashions - Wine Banarasi Silk Saree With Blouse Piece ( Pack of 1 ),product,None
Glorious - Pink Cotton Women's Front Slit Kurti ( Pack of 1 ),None,product
Herbalife Personalized Protein Powder 200 gm Pack of 2,product,None
Hetsa - Brown Cotton Blend Women's Straight Kurti ( Pack of 1 ),None,product
JA-50 kg Weight Scale Digital Luggage Weighing Scales Weighing Capacity - 50 Kg Tools Hardware,None,product
"Lawn Grass seed - 3000 seeds/Pack, Instruction Manual Inside Package",None,product
Leakage Repair Waterproof Tape for Pipe Leakage Roof Water Leakage Solution Alum - Silver Single Sided Duct Tape ( Pack of 1 ),None,quality
Lotus Flower Seeds mix Colors Seeds For Home Garden 20 Seeds + free seed,None,quality
"Masala Rangoli Box Dabba for Keeping Spices, Spice Box for Kitchen, Plastic Wooden Style Masala Box, Masala Container, Masala Dabba",product,None
"Microvent Multi-purpose Plastic Kitchen Container Set with vent, 1800ml, 1100ml, 680ml, 360ml, Purple (4U)",product,None
"Milton Flip Lid 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Bag, 1 Litre, Silver",None,product
Next Queen-1500 Liter Watt Stainless Steel Electric Kettle,product,None
"Nut Toppers Arabian Dates, 800 g (400g x 2)",None,quality
"Nutriley Muscle Gainer Capsules, Mass Gainer, Increase Muscle Mass & Strength, 60 Capsules",product,None
PRd PU Tan Casual regular Wallet,None,quality
RAGE GAZE - Brown PU Men's Regular Wallet ( Pack of 1 ),None,product
"SH NASIMA - Home Storage Cloth Bags, Saree, Suits, Blouse, Blanket Organiser for Underbed, Almirah (Pack of 3)",None,quality
SHARUJA Analog Electric Tester,quality,None
Sambhav Deals - Tan PU Men's Regular Wallet ( Pack of 1 ),product,None
"Set of 02 Underbed Storage Bag, Storage Organizer, Blanket Cover with Front Handle",product,None
Shiv Trishul Damru Gold-plated Locket with Rudraksha Mala,None,quality
"Stainless Steel Vestire Manual Hand Blender for Egg & Cream Beater, Milkshake, Lassi, Butter Milk Mixer",None,quality
Tantra Fluke Pro Bluetooth Receiver 4.1 Bluetooth Kit for Car (Black),product,None
Topware Faux Leather Brown Casual Regular Wallet Leather Brown Casual Regular Wallet,product,None
UNICAL Shock Resistant Cable Protector for Smartphones and Tablets ( Multicolor ),product,None
Unique Retail 7 in 1 Electric Soldering/Welding Iron Kit For DIY/Crafts Tools Hardware,None,quality
chopwell Red Plastic Manual Kitchen Chopper 450 ml ( Pack of 1 ),None,quality
dust n shine Multicolor Stainless Steel Steal scrubber pack of 12 ( Set of 12 ),None,product
flyfot Kitchenware Plastic Multipurpose Rice Wash Bowl with Handle for Rice V Plastic Strainers 1 Pc,None,quality
sweat BELT hot shapers hot shaper sauna tummy trimmer slimming belt,product,None
